category;source;kind;confidence;title;value;url;evidence;http_code
domain;subdomain-brute;subdomains;high;Перебор поддоменов по словарю (120 слов): найдено 4 живых;gmail.com;https://dns.google/query?name=gmail.com&type=A;реальный DNS-резолв 120 имён, положительный ответ для 4;
email;dns;dns;high;Домен gmail.com: MX найден — почта принимается;gmail.com;https://dns.google/query?name=gmail.com&type=MX;DNS-запросы MX/A/NS/TXT/DMARC: record_count=13;
email;email-hygiene;meta;high;Бесплатный публичный почтовый сервис;torvalds@gmail.com;;сверка с локальной базой 80+ публичных и одноразовых почтовых доменов;
email;gravatar;meta;high;Gravatar не найден (аватар отсутствует);torvalds@gmail.com;https://www.gravatar.com/avatar/e9c3ee71babc6bd3912b021f1befe6b0?s=200;HTTP 0 для gravatar.com/e9c3ee71babc6bd3912b021f1befe6b0.json и .png — профиля нет;
email;syntax;meta;high;Синтаксис корректен, нормализовано: torvalds@gmail.com;torvalds@gmail.com;;проверка по регулярному выражению + нормализация Unicode/lowercase;
username;github;profile;high;github: аккаунт найден;torvalds;https://github.com/torvalds;HTTP 200 ∈ [200];200
username;github-api;profile;high;GitHub: Linus Torvalds (@torvalds), репозиториев: 12, подписчиков: 324359;torvalds;https://github.com/torvalds;api.github.com/users/torvalds → login=torvalds, created_at=2011-09-03T15:26:22Z;200
username;github-repos;meta;high;GitHub: 12 последних репозиториев, языки: C, Python, C++, OpenSCAD;torvalds;https://github.com/torvalds?tab=repositories;api.github.com/users/torvalds/repos → 12 репозиториев;200
username;normalize;meta;high;Цель нормализована: «torvalds» (длина 8, только буквы);torvalds;;нормализация регистра/символов + генерация вариантов написания;
email;mail-provider;meta;medium;Почта обслуживается: Google Workspace / Gmail;Google Workspace / Gmail;;MX-записи домена: alt1.gmail-smtp-in.l.google.com, gmail-smtp-in.l.google.com, alt3.gmail-smtp-in.l.google.com;
breach;breach-links;link;low;Прямые ссылки на сервисы проверки утечек;torvalds@gmail.com;;"breach-links: получено 0 названий утечек; HTTP 200";200
domain;dorks;link;low;Поисковые операторы (dorks) по домену gmail.com;gmail.com;https://www.google.com/search?q=site%3Agmail.com;готовые ссылки с поисковыми операторами — для ручного анализа;
email;dorks;link;low;Поисковые ссылки по адресу (14) — открыть и проверить вручную;torvalds@gmail.com;https://www.google.com/search?q=%22torvalds%40gmail.com%22;"ссылки на поисковые системы с точным совпадением адреса; автоматических утверждений нет — это точки входа для проверки";
telegram;tg-dorks;link;low;Аналитика и поиск по Telegram (tgstat/telemetr/lyzem) — ссылки для проверки;torvalds;https://www.google.com/search?q=site%3At.me+%22torvalds%22;"внешние каталоги и поисковики Telegram-контента; автоматических выводов нет";
username;dorks;link;low;Поисковые ссылки по логину;torvalds;https://www.google.com/search?q=%22torvalds%22;ссылки для ручной проверки (не автоматическое утверждение);
